Date,Close
1/2/2018,63.49
1/3/2018,63.48
1/4/2018,63.44
1/5/2018,63.98
1/8/2018,64.55
1/9/2018,64.09
1/10/2018,64.22
1/11/2018,64.29
1/12/2018,64.67
1/16/2018,63.42
1/17/2018,63.81
1/18/2018,64.11
1/19/2018,67.21
1/22/2018,66.39
1/23/2018,67.14
1/24/2018,68
1/25/2018,67.71
1/26/2018,68.04
1/29/2018,67.58
1/30/2018,67.33
1/31/2018,68.22
2/1/2018,67.65
2/2/2018,67.22
2/5/2018,64.39
2/6/2018,65.22
2/7/2018,65.63
2/8/2018,62.49
2/9/2018,65.49
2/12/2018,65.98
2/13/2018,65.87
2/14/2018,67.96
2/15/2018,68.29
2/16/2018,68.3
2/20/2018,67.49
2/21/2018,67.05
2/22/2018,67.13
2/23/2018,68.16
2/26/2018,69.65
2/27/2018,68.03
2/28/2018,67.03
3/1/2018,66.32
3/2/2018,65.89
3/5/2018,65.05
3/6/2018,65.24
3/7/2018,64.17
3/8/2018,65.11
3/9/2018,66.3
3/12/2018,66.82
3/13/2018,66.17
3/14/2018,66.2
3/15/2018,66.39
3/16/2018,65.91
3/19/2018,65.71
3/20/2018,66.8
3/21/2018,66.35
3/22/2018,64.42
3/23/2018,64.63
3/26/2018,65.9
3/27/2018,66.17
3/28/2018,65.44
3/29/2018,66.44
4/2/2018,64.12
4/3/2018,66.7
4/4/2018,68.42
4/5/2018,69.59
4/6/2018,67.55
4/9/2018,67.18
4/10/2018,67
4/11/2018,66.83
4/12/2018,67.77
4/13/2018,67.25
4/16/2018,67.06
4/17/2018,67.51
4/18/2018,66.2
4/19/2018,65.73
4/20/2018,66.09
4/23/2018,66.88
4/24/2018,66.97
4/25/2018,66.67
4/26/2018,68.05
4/27/2018,69.56
4/30/2018,68.39
5/1/2018,68.1
5/2/2018,68.26
5/3/2018,66.9
5/4/2018,68.1
5/7/2018,69.34
5/8/2018,68.46
5/9/2018,67.95
5/10/2018,67.92
5/11/2018,68.43
5/14/2018,68.84
5/15/2018,69.5
5/16/2018,71.34
5/17/2018,70.94
5/18/2018,71.32
5/21/2018,71.38
5/22/2018,71.31
5/23/2018,71.34
5/24/2018,72.18
5/25/2018,72.25
