Symbol,Date,Close
WMT,03-Dec-20,149.3
WMT,04-Dec-20,148.91
WMT,07-Dec-20,148.11
WMT,08-Dec-20,149.45
WMT,09-Dec-20,148.27
WMT,10-Dec-20,147.04
WMT,11-Dec-20,147
WMT,14-Dec-20,145.65
WMT,15-Dec-20,145.58
WMT,16-Dec-20,145.43
WMT,17-Dec-20,146.1
WMT,18-Dec-20,145.95
WMT,21-Dec-20,145.97
WMT,22-Dec-20,144.2
WMT,23-Dec-20,143.22
WMT,24-Dec-20,143.5
WMT,28-Dec-20,145.22
WMT,29-Dec-20,144.3
WMT,30-Dec-20,144.18
WMT,31-Dec-20,144.15
WMT,04-Jan-21,146.53
WMT,05-Jan-21,145.75
WMT,06-Jan-21,146.66
WMT,07-Jan-21,146.65
WMT,08-Jan-21,146.63
WMT,11-Jan-21,147.29
WMT,12-Jan-21,148.97
WMT,13-Jan-21,147.45
WMT,14-Jan-21,146.97
WMT,15-Jan-21,144.64
WMT,19-Jan-21,143.39
WMT,20-Jan-21,145.51
WMT,21-Jan-21,144.85
WMT,22-Jan-21,146.33
WMT,25-Jan-21,146.2
WMT,26-Jan-21,147.51
WMT,27-Jan-21,143.84
WMT,28-Jan-21,143.75
WMT,29-Jan-21,140.49
WMT,01-Feb-21,139.27
WMT,02-Feb-21,140.77
WMT,03-Feb-21,141.2
WMT,04-Feb-21,142.53
WMT,05-Feb-21,144.36
WMT,08-Feb-21,145.03
WMT,09-Feb-21,145.83
WMT,10-Feb-21,144.13
WMT,11-Feb-21,144.02
WMT,12-Feb-21,144.47
WMT,16-Feb-21,145.66
WMT,17-Feb-21,147.2
WMT,18-Feb-21,137.66
WMT,19-Feb-21,138.34
WMT,22-Feb-21,137.69
WMT,23-Feb-21,135.47
WMT,24-Feb-21,133.21
WMT,25-Feb-21,131.95
WMT,26-Feb-21,129.92
WMT,01-Mar-21,131.37
WMT,02-Mar-21,130.11
WMT,03-Mar-21,127.59
WMT,04-Mar-21,127.53
WMT,05-Mar-21,129.12
WMT,08-Mar-21,127.88
WMT,09-Mar-21,128.89
WMT,10-Mar-21,132.18
WMT,11-Mar-21,132.13
WMT,12-Mar-21,134.12
WMT,15-Mar-21,133.43
WMT,16-Mar-21,133.39
WMT,17-Mar-21,132.28
WMT,18-Mar-21,130.01
WMT,19-Mar-21,131.74
WMT,22-Mar-21,132.37
WMT,23-Mar-21,133.94
WMT,24-Mar-21,133.11
WMT,25-Mar-21,134.01
WMT,26-Mar-21,135.13
WMT,29-Mar-21,136.67
WMT,30-Mar-21,135.74
WMT,31-Mar-21,135.83
WMT,01-Apr-21,135.62
WMT,05-Apr-21,139.43
WMT,06-Apr-21,140.1
WMT,07-Apr-21,139.8
WMT,08-Apr-21,139.71
WMT,09-Apr-21,139.78
WMT,12-Apr-21,139.8
WMT,13-Apr-21,139.37
WMT,14-Apr-21,139.32
WMT,15-Apr-21,140.16
WMT,16-Apr-21,140.61
WMT,19-Apr-21,139.71
WMT,20-Apr-21,140.79
WMT,21-Apr-21,141.2
WMT,22-Apr-21,139.67
WMT,23-Apr-21,139.9
WMT,26-Apr-21,137.91
WMT,27-Apr-21,138.38
WMT,28-Apr-21,137.89
WMT,29-Apr-21,139.63
WMT,30-Apr-21,139.91
WMT,03-May-21,142.12
WMT,04-May-21,140.72
WMT,05-May-21,140.6
WMT,06-May-21,141.05
WMT,07-May-21,140.2
WMT,10-May-21,140.82
WMT,11-May-21,139.55
WMT,12-May-21,135.94
WMT,13-May-21,138.24
WMT,14-May-21,139.52
WMT,17-May-21,138.89
WMT,18-May-21,141.91
WMT,19-May-21,141.92
WMT,20-May-21,142.42
WMT,21-May-21,141.75
WMT,24-May-21,141.76
WMT,25-May-21,142.34
WMT,26-May-21,142.17
WMT,27-May-21,141.69
WMT,28-May-21,142.03
WMT,01-Jun-21,141.66
WMT,02-Jun-21,141.35
WMT,03-Jun-21,141.6
WMT,04-Jun-21,141.85
WMT,07-Jun-21,140.9
WMT,08-Jun-21,139.83
WMT,09-Jun-21,139.08
WMT,10-Jun-21,139.88
WMT,11-Jun-21,140.75
WMT,14-Jun-21,140.56
WMT,15-Jun-21,140
WMT,16-Jun-21,137.15
WMT,17-Jun-21,137.72
WMT,18-Jun-21,135.17
WMT,21-Jun-21,136.4
WMT,22-Jun-21,137.03
WMT,23-Jun-21,135.96
WMT,24-Jun-21,136.91
WMT,25-Jun-21,138.53
WMT,28-Jun-21,138.1
WMT,29-Jun-21,137.3
WMT,30-Jun-21,141.02
WMT,01-Jul-21,139.32
WMT,02-Jul-21,140.11
WMT,06-Jul-21,139.94
WMT,07-Jul-21,139.71
WMT,08-Jul-21,139.59
WMT,09-Jul-21,140.3
WMT,12-Jul-21,140.05
WMT,13-Jul-21,140.58
WMT,14-Jul-21,141.55
WMT,15-Jul-21,141.66
WMT,16-Jul-21,141.56
WMT,19-Jul-21,141.23
WMT,20-Jul-21,141.87
WMT,21-Jul-21,141.17
WMT,22-Jul-21,141.27
WMT,23-Jul-21,142.43
WMT,26-Jul-21,142.63
WMT,27-Jul-21,142.64
WMT,28-Jul-21,142.06
WMT,29-Jul-21,142.24
WMT,30-Jul-21,142.55
WMT,02-Aug-21,142.22
WMT,03-Aug-21,143.82
WMT,04-Aug-21,142.84
WMT,05-Aug-21,145.49
WMT,06-Aug-21,145.23
WMT,09-Aug-21,145.58
WMT,10-Aug-21,148.68
WMT,11-Aug-21,150.01
WMT,12-Aug-21,149.06
WMT,13-Aug-21,149.53
WMT,16-Aug-21,150.75
WMT,17-Aug-21,150.7
WMT,18-Aug-21,149.1
WMT,19-Aug-21,150.11
WMT,20-Aug-21,151.45
WMT,23-Aug-21,150.45
WMT,24-Aug-21,148.9
WMT,25-Aug-21,148.96
WMT,26-Aug-21,147.35
WMT,27-Aug-21,146.52
WMT,30-Aug-21,147.7
WMT,31-Aug-21,148.1
WMT,01-Sep-21,147.78
WMT,02-Sep-21,148.56
WMT,03-Sep-21,149.25
WMT,07-Sep-21,147.27
WMT,08-Sep-21,147.46
WMT,09-Sep-21,146.42
WMT,10-Sep-21,145.89
WMT,13-Sep-21,145.06
WMT,14-Sep-21,144.3
WMT,15-Sep-21,144.55
WMT,16-Sep-21,145.03
WMT,17-Sep-21,144.73
WMT,20-Sep-21,142.74
WMT,21-Sep-21,143.02
WMT,22-Sep-21,142.69
WMT,23-Sep-21,142.77
WMT,24-Sep-21,143.17
WMT,27-Sep-21,142.25
WMT,28-Sep-21,140.5
WMT,29-Sep-21,140.44
WMT,30-Sep-21,139.38
WMT,01-Oct-21,137.05
WMT,04-Oct-21,135.73
WMT,05-Oct-21,136.62
WMT,06-Oct-21,137.62
WMT,07-Oct-21,139.24
WMT,08-Oct-21,139.66
WMT,11-Oct-21,139.53
WMT,12-Oct-21,139.38
WMT,13-Oct-21,138.37
WMT,14-Oct-21,139.87
WMT,15-Oct-21,140.55
WMT,18-Oct-21,141.68
WMT,19-Oct-21,144.69
WMT,20-Oct-21,146
WMT,21-Oct-21,146.81
WMT,22-Oct-21,148.34
WMT,25-Oct-21,150.06
WMT,26-Oct-21,148.75
WMT,27-Oct-21,147.53
WMT,28-Oct-21,148.45
WMT,29-Oct-21,149.42
WMT,01-Nov-21,149.79
WMT,02-Nov-21,149.72
WMT,03-Nov-21,150.18
WMT,04-Nov-21,151.28
WMT,05-Nov-21,150.23
WMT,08-Nov-21,149.27
WMT,09-Nov-21,149.79
WMT,10-Nov-21,148.44
WMT,11-Nov-21,148.5
WMT,12-Nov-21,147.76
WMT,15-Nov-21,146.91
WMT,16-Nov-21,143.17
WMT,17-Nov-21,141.94
WMT,18-Nov-21,143.16
WMT,19-Nov-21,142.39
WMT,22-Nov-21,144.78
WMT,23-Nov-21,145.81
WMT,24-Nov-21,146.54
WMT,26-Nov-21,144.9
WMT,29-Nov-21,142.63
WMT,30-Nov-21,140.63
WMT,01-Dec-21,137.14
