Symbol,Date,Close
MCD,03-Dec-20,211.51
MCD,04-Dec-20,210.74
MCD,07-Dec-20,208.89
MCD,08-Dec-20,208.39
MCD,09-Dec-20,208.69
MCD,10-Dec-20,208.04
MCD,11-Dec-20,207.76
MCD,14-Dec-20,211.92
MCD,15-Dec-20,214.86
MCD,16-Dec-20,213.8
MCD,17-Dec-20,214.25
MCD,18-Dec-20,215.08
MCD,21-Dec-20,211.67
MCD,22-Dec-20,211.92
MCD,23-Dec-20,212.02
MCD,24-Dec-20,211.39
MCD,28-Dec-20,214.02
MCD,29-Dec-20,212.71
MCD,30-Dec-20,211.56
MCD,31-Dec-20,214.58
MCD,04-Jan-21,210.22
MCD,05-Jan-21,211.48
MCD,06-Jan-21,211
MCD,07-Jan-21,211.98
MCD,08-Jan-21,215.87
MCD,11-Jan-21,214.23
MCD,12-Jan-21,211.6
MCD,13-Jan-21,212.09
MCD,14-Jan-21,208.5
MCD,15-Jan-21,209.91
MCD,19-Jan-21,209.09
MCD,20-Jan-21,213.63
MCD,21-Jan-21,213.53
MCD,22-Jan-21,213.38
MCD,25-Jan-21,213.34
MCD,26-Jan-21,215.38
MCD,27-Jan-21,207
MCD,28-Jan-21,206.82
MCD,29-Jan-21,207.84
MCD,01-Feb-21,207.93
MCD,02-Feb-21,209.76
MCD,03-Feb-21,208.71
MCD,04-Feb-21,211.03
MCD,05-Feb-21,212.58
MCD,08-Feb-21,211.58
MCD,09-Feb-21,215.98
MCD,10-Feb-21,214.4
MCD,11-Feb-21,214.27
MCD,12-Feb-21,213.9
MCD,16-Feb-21,215.03
MCD,17-Feb-21,213.45
MCD,18-Feb-21,215.43
MCD,19-Feb-21,212.24
MCD,22-Feb-21,212.06
MCD,23-Feb-21,211.32
MCD,24-Feb-21,213.27
MCD,25-Feb-21,210.95
MCD,26-Feb-21,206.14
MCD,01-Mar-21,208.25
MCD,02-Mar-21,208.67
MCD,03-Mar-21,205.82
MCD,04-Mar-21,204.84
MCD,05-Mar-21,207.37
MCD,08-Mar-21,209.11
MCD,09-Mar-21,208.55
MCD,10-Mar-21,213.31
MCD,11-Mar-21,211.57
MCD,12-Mar-21,212.34
MCD,15-Mar-21,220.46
MCD,16-Mar-21,219.86
MCD,17-Mar-21,224.11
MCD,18-Mar-21,222.9
MCD,19-Mar-21,222.44
MCD,22-Mar-21,225.07
MCD,23-Mar-21,224.37
MCD,24-Mar-21,224.05
MCD,25-Mar-21,224.2
MCD,26-Mar-21,225.21
MCD,29-Mar-21,227.35
MCD,30-Mar-21,224.98
MCD,31-Mar-21,224.14
MCD,01-Apr-21,225.21
MCD,05-Apr-21,228.85
MCD,06-Apr-21,231.91
MCD,07-Apr-21,232.61
MCD,08-Apr-21,230.25
MCD,09-Apr-21,231.48
MCD,12-Apr-21,230.96
MCD,13-Apr-21,231.32
MCD,14-Apr-21,230.31
MCD,15-Apr-21,231.28
MCD,16-Apr-21,233.08
MCD,19-Apr-21,231.81
MCD,20-Apr-21,233.01
MCD,21-Apr-21,232.26
MCD,22-Apr-21,232.96
MCD,23-Apr-21,234.58
MCD,26-Apr-21,232.31
MCD,27-Apr-21,234.98
MCD,28-Apr-21,232.41
MCD,29-Apr-21,235.21
MCD,30-Apr-21,236.08
MCD,03-May-21,235.56
MCD,04-May-21,233.86
MCD,05-May-21,235.04
MCD,06-May-21,234.86
MCD,07-May-21,234.84
MCD,10-May-21,237.11
MCD,11-May-21,233.86
