,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,fb,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Meta Platforms Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,310.39,,-0.21,-0.07%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"863,430M",22.19,1.29,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,fb,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 30, 2021",289.83,292.47,286.70,288.00,"17,474,537"
,"Mar 31, 2021",289.99,296.50,288.61,294.53,"19,498,157"
,"Apr 1, 2021",298.40,302.40,296.60,298.66,"17,615,980"
,"Apr 5, 2021",300.89,310.77,300.68,308.91,"28,237,006"
,"Apr 6, 2021",308.84,311.35,305.25,306.26,"17,335,246"
,"Apr 7, 2021",306.34,314.25,305.50,313.09,"22,855,241"
,"Apr 8, 2021",314.85,315.88,310.05,313.02,"20,894,148"
,"Apr 9, 2021",311.40,314.74,310.33,312.46,"15,988,568"
,"Apr 12, 2021",311.05,312.15,307.93,311.54,"10,881,935"
,"Apr 13, 2021",312.21,314.43,309.32,309.76,"14,036,927"
,"Apr 14, 2021",307.30,308.03,301.95,302.82,"17,421,393"
,"Apr 15, 2021",306.34,310.14,304.10,307.82,"14,558,273"
,"Apr 16, 2021",308.17,308.95,304.61,306.18,"13,059,163"
,"Apr 19, 2021",305.01,307.70,300.56,302.24,"14,553,507"
,"Apr 20, 2021",301.99,305.10,297.21,302.65,"16,796,442"
,"Apr 21, 2021",301.95,301.98,297.39,301.47,"14,863,474"
,"Apr 22, 2021",301.33,302.92,296.04,296.52,"16,375,350"
,"Apr 23, 2021",298.76,302.59,297.15,301.13,"17,559,498"
,"Apr 26, 2021",303.34,305.80,301.56,303.04,"16,172,593"
,"Apr 27, 2021",304.28,305.34,301.11,303.57,"15,309,256"
,"Apr 28, 2021",307.36,310.92,305.37,307.10,"33,907,210"
,"Apr 29, 2021",330.12,331.81,321.61,329.51,"56,526,771"
,"Apr 30, 2021",326.14,329.82,324.50,325.08,"26,332,423"
,"May 3, 2021",326.17,328.55,321.84,322.58,"18,719,462"
,"May 4, 2021",320.02,322.19,313.12,318.36,"24,032,557"
,"May 5, 2021",318.19,321.06,314.49,315.02,"15,577,605"
,"May 6, 2021",314.52,320.24,313.27,320.02,"19,012,241"
,"May 7, 2021",322.38,322.94,318.75,319.08,"15,916,743"
,"May 10, 2021",314.35,314.58,304.83,305.97,"24,239,170"
,"May 11, 2021",300.75,306.84,299.69,306.53,"18,920,086"
,"May 12, 2021",301.13,304.96,298.19,302.55,"24,641,010"
,"May 13, 2021",306.08,308.86,302.77,305.26,"18,079,160"
,"May 14, 2021",309.54,316.85,309.08,315.94,"19,245,724"
,"May 17, 2021",313.55,315.68,311.58,315.46,"15,401,343"
,"May 18, 2021",315.59,316.50,309.81,309.96,"14,522,403"
,"May 19, 2021",304.19,314.66,303.57,313.59,"19,106,244"
,"May 20, 2021",313.58,319.25,313.16,318.61,"17,320,241"
,"May 21, 2021",319.29,319.93,315.81,316.23,"13,600,901"
,"May 24, 2021",318.21,325.95,318.03,324.63,"16,445,356"
,"May 25, 2021",327.08,329.18,324.80,327.79,"16,436,965"
,"May 26, 2021",328.35,329.83,325.82,327.66,"9,686,917"
,"May 27, 2021",328.00,333.78,326.76,332.75,"20,477,726"
,"May 28, 2021",331.00,332.87,328.33,328.73,"12,037,430"
,"Jun 1, 2021",330.15,331.42,326.64,329.13,"11,765,906"
,"Jun 2, 2021",330.38,331.87,327.12,329.15,"11,654,275"
,"Jun 3, 2021",325.78,327.38,323.48,326.04,"12,610,788"
,"Jun 4, 2021",325.90,332.46,325.18,330.35,"13,289,383"
,"Jun 7, 2021",329.48,337.69,328.93,336.58,"20,136,707"
,"Jun 8, 2021",336.70,338.30,332.24,333.68,"14,580,464"
,"Jun 9, 2021",335.74,336.80,330.00,330.25,"13,727,946"
,"Jun 10, 2021",330.79,333.94,328.55,332.46,"13,240,229"
,"Jun 11, 2021",332.58,332.83,328.93,331.26,"13,587,916"
,"Jun 14, 2021",331.90,336.82,329.81,336.77,"12,250,799"
,"Jun 15, 2021",336.99,339.92,335.03,336.75,"15,795,226"
,"Jun 16, 2021",336.70,337.55,328.72,331.08,"17,232,157"
,"Jun 17, 2021",330.49,337.98,330.15,336.51,"17,794,080"
,"Jun 18, 2021",334.53,336.15,329.00,329.66,"23,039,457"
,"Jun 21, 2021",331.09,332.92,327.65,332.29,"11,337,522"
,"Jun 22, 2021",332.69,339.92,332.60,339.03,"15,345,299"
,"Jun 23, 2021",339.35,343.42,338.20,340.59,"14,817,824"
,"Jun 24, 2021",341.85,344.90,341.79,343.18,"12,329,096"
,"Jun 25, 2021",342.59,344.12,339.68,341.37,"14,594,444"
,"Jun 28, 2021",342.46,358.14,341.77,355.64,"29,156,132"
,"Jun 29, 2021",356.27,356.74,349.05,351.89,"21,417,305"
,"Jun 30, 2021",352.17,352.92,347.17,347.71,"15,107,514"
,"Jul 1, 2021",346.82,354.67,346.50,354.39,"17,137,021"
,"Jul 2, 2021",355.10,356.44,352.62,354.70,"11,524,614"
,"Jul 6, 2021",356.50,358.79,349.18,352.78,"13,488,455"
,"Jul 7, 2021",355.26,356.49,350.00,350.49,"14,218,866"
,"Jul 8, 2021",345.73,348.33,342.56,345.65,"14,406,457"
,"Jul 9, 2021",345.32,350.71,345.27,350.42,"13,018,694"
,"Jul 12, 2021",351.23,354.19,349.64,353.16,"10,018,624"
,"Jul 13, 2021",351.50,358.49,348.80,352.09,"11,455,963"
,"Jul 14, 2021",354.56,355.20,346.73,347.63,"13,894,221"
,"Jul 15, 2021",349.23,349.23,340.22,344.46,"14,781,594"
,"Jul 16, 2021",344.91,345.99,340.14,341.16,"11,026,093"
,"Jul 19, 2021",337.57,339.79,334.54,336.95,"14,372,345"
,"Jul 20, 2021",338.80,343.45,334.50,341.66,"11,024,277"
,"Jul 21, 2021",341.50,346.52,341.25,346.23,"9,279,657"
,"Jul 22, 2021",346.68,351.54,345.21,351.19,"12,385,441"
,"Jul 23, 2021",360.91,375.33,357.19,369.79,"33,694,328"
,"Jul 26, 2021",369.58,374.44,368.22,372.46,"14,925,222"
,"Jul 27, 2021",371.91,373.15,364.55,367.81,"15,705,447"
,"Jul 28, 2021",374.56,377.55,366.93,373.28,"29,676,910"
,"Jul 29, 2021",361.00,365.52,356.74,358.32,"33,413,244"
,"Jul 30, 2021",354.00,360.73,352.94,356.30,"15,976,179"
,"Aug 2, 2021",358.10,359.40,350.74,351.95,"13,180,439"
,"Aug 3, 2021",352.73,353.77,347.70,351.24,"12,406,054"
,"Aug 4, 2021",352.42,360.48,351.51,358.92,"14,180,572"
,"Aug 5, 2021",359.64,363.90,356.90,362.97,"10,247,207"
,"Aug 6, 2021",361.40,365.15,361.40,363.51,"8,925,017"
,"Aug 9, 2021",363.76,365.78,360.75,361.61,"7,798,872"
,"Aug 10, 2021",361.83,364.10,359.04,361.13,"7,469,878"
,"Aug 11, 2021",362.10,362.36,357.81,359.96,"8,400,332"
,"Aug 12, 2021",358.45,363.00,357.11,362.65,"7,175,206"
,"Aug 13, 2021",362.97,364.66,361.48,363.18,"7,195,724"
,"Aug 16, 2021",362.52,366.95,357.38,366.56,"11,232,269"
,"Aug 17, 2021",362.98,364.67,355.07,358.45,"12,328,737"
,"Aug 18, 2021",356.25,359.86,355.15,355.45,"10,042,381"
,"Aug 19, 2021",351.35,357.57,351.00,355.12,"12,004,535"
,"Aug 20, 2021",354.60,359.99,353.31,359.37,"8,697,667"
,"Aug 23, 2021",359.44,365.69,359.10,363.35,"10,942,007"
,"Aug 24, 2021",363.66,367.96,361.84,365.51,"9,235,148"
,"Aug 25, 2021",365.60,370.86,365.40,368.39,"9,684,519"
,"Aug 26, 2021",368.38,369.44,364.13,364.38,"7,888,683"
,"Aug 27, 2021",365.10,373.74,364.08,372.63,"11,219,142"
,"Aug 30, 2021",372.56,381.49,370.52,380.66,"13,547,261"
,"Aug 31, 2021",379.95,382.76,378.80,379.38,"12,345,350"
,"Sep 1, 2021",379.59,384.33,378.81,382.05,"11,567,163"
,"Sep 2, 2021",381.50,381.75,374.06,375.28,"14,838,274"
,"Sep 3, 2021",374.75,377.16,373.11,376.26,"7,511,356"
,"Sep 7, 2021",375.88,382.96,373.15,382.18,"10,798,920"
,"Sep 8, 2021",380.16,380.87,374.79,377.57,"11,067,166"
,"Sep 9, 2021",377.64,379.83,376.57,378.00,"9,098,941"
,"Sep 10, 2021",381.36,383.79,378.26,378.69,"11,549,595"
,"Sep 13, 2021",381.68,381.75,374.35,376.51,"13,026,275"
,"Sep 14, 2021",377.40,378.59,375.11,376.53,"8,711,569"
,"Sep 15, 2021",377.00,377.56,367.67,373.92,"17,940,297"
,"Sep 16, 2021",372.79,373.56,369.71,373.06,"11,934,217"
,"Sep 17, 2021",371.41,371.41,361.59,364.72,"26,298,966"
,"Sep 20, 2021",359.30,361.03,349.80,355.70,"19,822,772"
,"Sep 21, 2021",358.50,360.04,355.19,357.48,"11,751,917"
,"Sep 22, 2021",347.23,349.84,340.69,343.21,"43,692,859"
,"Sep 23, 2021",345.36,349.67,343.00,345.96,"21,806,264"
,"Sep 24, 2021",343.24,354.35,342.37,352.96,"18,801,933"
,"Sep 27, 2021",349.81,355.15,347.08,353.58,"15,205,843"
,"Sep 28, 2021",347.97,349.60,338.92,340.65,"21,710,286"
,"Sep 29, 2021",343.15,345.23,338.88,339.61,"14,452,241"
,"Sep 30, 2021",340.45,342.80,338.15,339.39,"16,547,094"
,"Oct 1, 2021",341.61,345.02,338.64,343.01,"14,905,311"
,"Oct 4, 2021",335.53,335.94,322.70,326.23,"42,884,975"
,"Oct 5, 2021",328.58,335.18,326.16,332.96,"35,377,947"
,"Oct 6, 2021",329.74,334.38,325.80,333.64,"26,443,010"
,"Oct 7, 2021",337.00,338.84,328.98,329.22,"28,307,456"
,"Oct 8, 2021",331.51,333.40,328.71,330.05,"15,946,110"
,"Oct 11, 2021",327.63,330.46,325.31,325.45,"14,708,224"
,"Oct 12, 2021",323.03,324.38,317.37,323.77,"31,658,684"
,"Oct 13, 2021",326.97,327.00,322.66,324.54,"14,761,470"
,"Oct 14, 2021",328.36,330.52,327.10,328.53,"14,302,154"
,"Oct 15, 2021",328.68,329.07,322.51,324.76,"21,596,370"
,"Oct 18, 2021",328.95,335.89,327.50,335.34,"21,585,018"
,"Oct 19, 2021",339.65,342.46,337.28,339.99,"18,786,316"
,"Oct 20, 2021",343.45,343.98,339.45,340.78,"13,639,465"
,"Oct 21, 2021",340.28,342.31,337.80,341.88,"16,354,423"
,"Oct 22, 2021",326.35,329.63,321.11,324.61,"35,224,543"
,"Oct 25, 2021",320.30,329.56,319.72,328.69,"38,408,957"
,"Oct 26, 2021",328.26,330.21,309.60,315.81,"65,654,043"
,"Oct 27, 2021",314.19,319.25,312.06,312.22,"29,971,761"
,"Oct 28, 2021",312.99,325.52,308.11,316.92,"50,806,840"
,"Oct 29, 2021",320.19,326.00,319.60,323.57,"37,059,384"
,"Nov 1, 2021",326.04,333.45,326.00,329.98,"31,518,885"
,"Nov 2, 2021",331.38,334.79,323.80,328.08,"28,352,966"
,"Nov 3, 2021",327.49,332.15,323.20,331.62,"20,786,502"
,"Nov 4, 2021",334.01,337.27,332.65,335.85,"22,495,281"
,"Nov 5, 2021",340.31,346.79,339.64,341.13,"26,872,817"
,"Nov 8, 2021",344.42,344.79,338.34,338.62,"18,342,458"
,"Nov 9, 2021",340.00,341.31,334.47,335.37,"17,556,721"
,"Nov 10, 2021",332.49,333.19,325.51,327.64,"21,872,605"
,"Nov 11, 2021",329.82,332.46,327.00,327.74,"12,376,563"
,"Nov 12, 2021",330.18,341.86,329.78,340.89,"25,414,311"
,"Nov 15, 2021",344.34,353.65,343.20,347.56,"25,076,603"
,"Nov 16, 2021",343.83,346.65,340.87,342.96,"18,181,106"
,"Nov 17, 2021",344.24,347.30,340.10,340.77,"13,602,812"
,"Nov 18, 2021",339.72,342.46,335.30,338.69,"17,487,235"
,"Nov 19, 2021",342.20,352.10,339.90,345.30,"26,488,541"
,"Nov 22, 2021",349.05,353.83,340.51,341.01,"27,116,811"
,"Nov 23, 2021",338.93,341.40,333.50,337.25,"17,224,986"
,"Nov 24, 2021",336.00,341.78,332.81,341.06,"13,566,181"
,"Nov 26, 2021",335.80,337.75,331.90,333.12,"14,750,737"
,"Nov 29, 2021",336.89,340.67,335.31,338.03,"16,650,949"
,"Nov 30, 2021",335.00,335.81,323.43,324.46,"25,390,008"
,"Dec 1, 2021",330.29,330.50,310.29,310.60,"30,384,083"
