,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,tsla,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Tesla Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,"1,084.60",,-10.40,-0.95%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,089,225M",351.95,2.03,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,tsla,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jun 17, 2021",601.89,621.47,601.34,616.60,"22,701,350"
,"Jun 18, 2021",613.37,628.35,611.80,623.31,"24,560,905"
,"Jun 21, 2021",624.48,631.39,608.88,620.83,"24,812,741"
,"Jun 22, 2021",618.25,628.57,615.50,623.71,"19,158,892"
,"Jun 23, 2021",632.00,657.20,630.04,656.57,"31,099,228"
,"Jun 24, 2021",674.99,697.62,667.61,679.82,"45,982,386"
,"Jun 25, 2021",689.58,693.81,668.70,671.87,"32,496,707"
,"Jun 28, 2021",671.64,694.70,670.32,688.72,"21,628,159"
,"Jun 29, 2021",684.65,687.51,675.89,680.76,"17,381,313"
,"Jun 30, 2021",679.77,692.81,678.14,679.70,"18,924,862"
,"Jul 1, 2021",683.92,687.99,672.80,677.92,"18,634,522"
,"Jul 2, 2021",678.98,700.00,673.26,678.90,"27,097,374"
,"Jul 6, 2021",681.71,684.00,651.40,659.58,"23,284,450"
,"Jul 7, 2021",664.27,665.70,638.32,644.65,"18,791,960"
,"Jul 8, 2021",628.37,654.43,620.46,652.81,"22,773,316"
,"Jul 9, 2021",653.18,658.91,644.69,656.95,"18,140,548"
,"Jul 12, 2021",662.20,687.24,662.16,685.70,"25,927,042"
,"Jul 13, 2021",686.32,693.28,666.30,668.54,"20,966,092"
,"Jul 14, 2021",670.75,678.61,652.84,653.38,"21,641,190"
,"Jul 15, 2021",658.39,666.14,637.88,650.60,"20,209,571"
,"Jul 16, 2021",654.68,656.70,642.20,644.22,"16,370,970"
,"Jul 19, 2021",629.89,647.20,621.29,646.22,"21,297,090"
,"Jul 20, 2021",651.99,662.39,640.50,660.50,"15,487,127"
,"Jul 21, 2021",659.61,664.86,650.29,655.29,"13,953,338"
