,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,wmt,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Walmart Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,135.47,,-1.67,-1.22%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"377,758M",47.43,0.51,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,wmt,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 30, 2021",136.33,137.59,135.47,135.74,"9,076,726"
,"Mar 31, 2021",135.55,136.86,134.96,135.83,"8,182,012"
,"Apr 1, 2021",135.94,136.89,135.33,135.62,"8,531,718"
,"Apr 5, 2021",136.72,140.16,136.20,139.43,"13,347,722"
,"Apr 6, 2021",139.11,140.95,138.52,140.10,"10,348,230"
,"Apr 7, 2021",140.30,140.75,139.65,139.80,"6,787,192"
,"Apr 8, 2021",140.45,141.12,139.66,139.71,"6,365,153"
,"Apr 9, 2021",139.63,140.09,138.71,139.78,"6,892,161"
,"Apr 12, 2021",140.07,140.38,139.34,139.80,"6,241,041"
,"Apr 13, 2021",139.80,140.00,138.87,139.37,"5,799,331"
,"Apr 14, 2021",139.12,139.46,138.42,139.32,"7,308,164"
,"Apr 15, 2021",139.40,140.47,139.20,140.16,"7,236,777"
,"Apr 16, 2021",140.89,140.96,139.71,140.61,"8,829,461"
,"Apr 19, 2021",140.29,140.57,139.61,139.71,"6,426,991"
,"Apr 20, 2021",139.42,141.77,138.82,140.79,"8,150,659"
,"Apr 21, 2021",140.77,141.70,140.53,141.20,"5,778,363"
,"Apr 22, 2021",141.08,141.45,139.42,139.67,"6,568,371"
,"Apr 23, 2021",139.10,140.34,139.03,139.90,"7,661,332"
,"Apr 26, 2021",139.91,140.00,137.64,137.91,"7,615,411"
,"Apr 27, 2021",138.00,138.95,137.55,138.38,"5,383,813"
,"Apr 28, 2021",138.35,138.59,137.87,137.89,"4,762,196"
,"Apr 29, 2021",137.90,140.00,137.90,139.63,"6,531,986"
,"Apr 30, 2021",139.71,139.99,139.11,139.91,"6,560,007"
,"May 3, 2021",139.68,142.74,139.68,142.12,"9,046,535"
,"May 4, 2021",141.54,142.03,140.10,140.72,"6,361,357"
,"May 5, 2021",140.71,141.00,140.30,140.60,"3,965,185"
