,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,mcd,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,McDonald's Corp,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,248.80,,+4.62,+1.89%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"185,915M",25.68,0.58,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,mcd,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 30, 2021",226.13,227.02,224.22,224.98,"2,419,008"
,"Mar 31, 2021",224.01,226.49,224.00,224.14,"3,564,051"
,"Apr 1, 2021",224.67,226.22,223.28,225.21,"2,441,261"
,"Apr 5, 2021",226.60,229.50,226.19,228.85,"2,866,411"
,"Apr 6, 2021",229.71,232.27,228.72,231.91,"3,230,903"
,"Apr 7, 2021",231.68,232.81,231.24,232.61,"2,551,332"
,"Apr 8, 2021",232.61,232.80,229.20,230.25,"2,772,285"
,"Apr 9, 2021",230.19,231.61,228.87,231.48,"2,729,039"
,"Apr 12, 2021",231.48,232.38,230.49,230.96,"2,292,729"
,"Apr 13, 2021",230.44,231.66,229.69,231.32,"2,571,032"
,"Apr 14, 2021",231.22,231.29,229.59,230.31,"2,129,184"
,"Apr 15, 2021",229.81,231.36,229.20,231.28,"2,063,107"
,"Apr 16, 2021",233.65,234.26,232.31,233.08,"2,694,295"
,"Apr 19, 2021",233.12,233.30,230.83,231.81,"2,254,849"
,"Apr 20, 2021",231.24,233.21,231.08,233.01,"1,885,666"
,"Apr 21, 2021",233.30,233.86,231.85,232.26,"2,065,818"
,"Apr 22, 2021",232.83,234.04,231.94,232.96,"1,839,671"
,"Apr 23, 2021",233.79,235.24,233.10,234.58,"2,137,862"
,"Apr 26, 2021",234.78,235.35,231.91,232.31,"2,490,387"
,"Apr 27, 2021",232.57,235.63,232.41,234.98,"2,623,876"
,"Apr 28, 2021",235.20,235.45,232.26,232.41,"2,776,969"
